bioguide,name,opensecrets,rss_url,state,twitter,twitter_id
B000944,Sherrod Brown,N00003535,http://www.brown.senate.gov/rss/feeds/?type=all&amp;,OH,SenSherrodBrown,43910797
C000127,Maria Cantwell,N00007836,http://www.cantwell.senate.gov/public/index.cfm/rss/feed,WA,SenatorCantwell,117501995
C000141,Benjamin L. Cardin,N00001955,http://www.cardin.senate.gov/rss/feeds/?type=all,MD,SenatorCardin,109071031
C000174,Thomas R. Carper,N00012508,http://www.carper.senate.gov/public/index.cfm/rss/feed,DE,SenatorCarper,249787913
C001070,"Robert P. Casey, Jr.",N00027503,http://www.casey.senate.gov/rss/feeds/?all,PA,SenBobCasey,171598736
C001071,Bob Corker,N00027441,http://www.corker.senate.gov/public/index.cfm/rss/feed,TN,SenBobCorker,73303753
F000062,Dianne Feinstein,N00007364,http://www.feinstein.senate.gov/public/?a=rss.feed,CA,SenFeinstein,476256944
H000338,Orrin G. Hatch,N00009869,http://www.hatch.senate.gov/public/index.cfm/rss/feed,UT,SenOrrinHatch,262756641
K000367,Amy Klobuchar,N00027500,,MN,,
M001170,Claire McCaskill,N00027694,http://mccaskill.senate.gov/rss/?p=news,MO,McCaskillOffice,57065141
M000639,Robert Menendez,N00000699,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,NJ,SenatorMenendez,18695134
N000032,Bill Nelson,N00009926,,FL,SenBillNelson,20597460
S000033,Bernard Sanders,N00000528,http://www.sanders.senate.gov/rss/,VT,SenSanders,29442313
S000770,Debbie Stabenow,N00004118,http://stabenow.senate.gov/rss/?p=news,MI,SenStabenow,76456274
T000464,Jon Tester,N00027605,http://www.tester.senate.gov/rss/?p=hot_topic,MT,SenatorTester,515822213
W000802,Sheldon Whitehouse,N00027533,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,RI,SenWhitehouse,242555999
B001261,John Barrasso,N00006236,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,WY,SenJohnBarrasso,202206694
W000437,Roger F. Wicker,N00003280,,MS,SenatorWicker,264219447
A000360,Lamar Alexander,N00009888,http://www.alexander.senate.gov/public/?a=rss.feed,TN,SenAlexander,76649729
C000567,Thad Cochran,N00003328,http://www.cochran.senate.gov/public/index.cfm/rss/feed,MS,SenThadCochran,555474658
C001035,Susan M. Collins,N00000491,http://www.collins.senate.gov/public/?a=rss.feed,ME,SenatorCollins,19726613
C001056,John Cornyn,N00024852,http://www.cornyn.senate.gov/public/?a=rss.feed,TX,JohnCornyn,13218102
D000563,Richard J. Durbin,N00004981,http://durbin.senate.gov/public/index.cfm/rss/feed,IL,SenatorDurbin,247334603
E000285,Michael B. Enzi,N00006249,http://www.enzi.senate.gov/public/index.cfm/rss/feed,WY,SenatorEnzi,291756142
G000359,Lindsey Graham,N00009975,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SC,GrahamBlog,14845376
I000024,James M. Inhofe,N00005582,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,OK,InhofePress,20546536
M000355,Mitch McConnell,N00003389,http://www.mcconnell.senate.gov/public/?a=rss.feed,KY,McConnellPress,339822881
M001176,Jeff Merkley,N00029303,http://www.merkley.senate.gov/rss/,OR,SenJeffMerkley,29201047
